from_v,to_v,n_reps,wheel_peak_mean,wheel_peak_std,platform_net_mean,platform_net_std
-3.0,2.0,3,-25.278,0.168,-125.5,38.806
-1.5,0.8,3,-13.193,0.034,-60.927,14.649
-1.0,0.0,3,-8.577,0.016,-9.87,6.558
-1.0,1.0,3,-8.53,0.024,-49.7,7.028
0.0,-4.0,3,-29.498,0.104,162.083,33.099
0.0,-2.5,3,-20.013,0.102,46.823,6.558
0.0,-1.5,3,-12.272,0.277,26.913,11.01
0.0,-1.0,3,-7.493,0.148,7.44,7.78
0.0,1.0,3,7.736,0.301,-10.63,0.958
0.0,1.5,3,11.484,0.382,-23.24,11.598
0.0,2.5,3,19.266,0.484,-60.627,23.958
0.0,4.0,3,27.453,0.112,-135.187,47.671
1.0,-1.0,3,8.455,0.032,64.767,30.135
1.0,0.0,3,8.455,0.058,8.697,7.918
1.5,-0.8,3,12.85,0.043,59.227,9.692
3.0,-2.0,3,24.126,0.026,298.463,68.114
