step_V,n,peak_gyro_mean,peak_gyro_std,peak_wheel_mean,platform_moved,wheel_moved
0.05,2,0.1,0.015,0.028,False,False
0.1,2,0.138,0.039,0.078,False,False
0.15,2,0.26,0.061,0.484,False,True
0.2,2,0.448,0.205,1.246,False,True
0.25,2,0.624,0.194,1.474,False,True
0.3,2,2.458,2.487,1.215,False,True
0.35,1,2.69,,2.26,False,True
0.4,2,3.275,0.892,2.708,True,True
0.45,2,1.648,0.428,3.164,False,True
0.5,2,1.959,0.659,3.642,False,True
0.55,2,5.822,4.437,4.144,True,True
0.6,2,11.218,6.909,4.682,True,True
0.65,2,9.218,3.26,5.162,True,True
0.7,2,18.73,16.949,5.627,True,True
0.75,1,21.631,,6.072,True,True
0.8,2,21.364,14.088,6.662,True,True
0.85,2,20.913,20.274,7.022,True,True
0.9,2,24.623,7.19,7.579,True,True
0.95,2,25.31,5.527,7.998,True,True
1.0,2,30.875,13.203,8.366,True,True
1.05,2,40.974,7.708,8.808,True,True
1.1,2,41.875,1.749,9.302,True,True
1.15,2,39.242,20.35,9.669,True,True
1.2,2,40.287,8.442,10.343,True,True
